"Autor","Título","Status","Tipo","Nota","Indicado por"
"Rafael Llano Cifuentes","As crises conjugais: e os conflitos do amor","☑","🛒","","Roger"
"Liz Wiseman","Multipliers: How the Best Leaders Make Everyone Smarter","☑","🛒","","https://newsletter.techworld-with-milan.com/p/how-to-be-a-multiplier-as-a-leader"
"Peter Drucker","","☑","🛒","","Alexandre Havard no livro Virtudes & Liderança"
"Stephen Covey","","☑","🛒","","Alexandre Havard no livro Virtudes & Liderança"
"Luiz Claudio Binato","O modelo do pensador","☑","🛒","","Moacir Moda: “Se você é líder … esse livro é obrigatório. … é obrigatório para qualquer um que esteja comprometido com o autodesenvolvimento”"
"Daniel Rops","Historia Sagrada do Povo de Deus","☑","🛒","",""
"Paul Jarvis","Company of One","☑","🛒","","Daniel Bastos"
"Richard Weaver","As Ideias tem Consequências","☑","🛒","","Gabriel Kanner"
"Érico Verissimo","O Tempo e o Vento - O Arquipélago vol. 1","☑","🛒","",""
"Érico Verissimo","O Tempo e o Vento - O Arquipélago vol. 2","☑","🛒","",""
"Érico Verissimo","O Tempo e o Vento - O Arquipélago vol. 3","☑","🛒","",""
